yahoo,tv,name,exchange,epsTtm,peTtm,growth5y,rule,pegLynch,pass
G,NYSE:G,Genpact Limited,NYSE,3.18,9.87941,14.4412,pe15,0.684113,true
GAIN,NASDAQ:GAIN,Gladstone Investment Corp.,NASDAQ,4.77,3.94737,30.0953,lynch_peg,0.131162,true
GAP,NYSE:GAP,"The Gap, Inc.",NYSE,2.18,7.91892,15.2557,lynch_peg,0.519081,true
GATX,NYSE:GATX,GATX Corporation,NYSE,9.14,17.679,16.6598,lynch_peg,1.06118,false
GBCI,NYSE:GBCI,"Glacier Bancorp, Inc.",NYSE,2,20.251,-6.57465,pe15,-3.08017,false
GBDC,NASDAQ:GBDC,"Golub Capital BDC, Inc.",NASDAQ,1.42,24.2273,30.8631,lynch_peg,0.784991,true
GBX,NYSE:GBX,"The Greenbrier Companies, Inc.",NYSE,6.55,13.3136,34.2858,lynch_peg,0.388312,true
GCMG,NASDAQ:GCMG,GCM Grosvenor Inc.,NASDAQ,0.87,17.7055,54.1359,lynch_peg,0.327057,true
GCO,NYSE:GCO,Genesco Inc.,NYSE,1.28,18.151,-17.1227,pe15,-1.06006,false
GCT,NASDAQ:GCT,GigaCloud Technology Inc.,NASDAQ,3.6,12.5534,-1.78875,pe15,-7.01801,true
GD,NYSE:GD,General Dynamics Corporation,NYSE,15.64,23.7511,7.2145,pe15,3.29213,false
GDDY,NYSE:GDDY,GoDaddy Inc.,NYSE,6.34,14.1824,41.4958,lynch_peg,0.341778,true
GDS,NASDAQ:GDS,GDS Holdings Limited,NASDAQ,4.64,16.6093,,,,false
GDYN,NASDAQ:GDYN,"Grid Dynamics Holdings, Inc.",NASDAQ,0.11,281.455,-10.9101,pe15,-25.7975,false
GE,NYSE:GE,GE Aerospace,NYSE,8.16,42.7101,11.8085,pe15,3.61691,false
GEF,NYSE:GEF,"Greif, Inc.",NYSE,15.05,5.03578,46.2416,lynch_peg,0.108902,true
GEHC,NASDAQ:GEHC,GE HealthCare Technologies Inc.,NASDAQ,4.56,21.181,0.671201,pe15,31.5569,false
GEN,NASDAQ:GEN,Gen Digital Inc.,NASDAQ,1.59,16.5489,11.0846,pe15,1.49296,false
GEO,NYSE:GEO,"The GEO Group, Inc.",NYSE,1.85,14.2266,14.5009,pe15,0.981089,true
GEV,NYSE:GEV,GE Vernova Inc.,NYSE,17.92,30.0203,,,,false
