yahooTicker,symbol,companyName,tf,entry_date,exit_date,entry_price,exit_price,entry_rr,pnl_usd,pnl_r,pnl_pct,hold_periods,win,trailingPE,forwardPE,trailingEps,forwardEps,marketCap,pe_bucket,trailing_eps_bucket,forward_eps_bucket,fund_reason,pass_F1,pass_F2,pass_F3,pass_F4,pass_F5,source
BRBS,AMEX:BRBS,"Blue Ridge Bankshares, Inc.",Monthly,2019-04-30,2019-07-31,13.166666984558105,13.079999923706055,2.2307687567536636,-4.000017606292489,-0.040000176062924886,-0.6582308260222127,3.0,0,33.18182,,0.11,,327241504.0,"(25,40]",>0,missing,OK,1,1,0,0,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Daily,2024-07-30,2024-08-01,2.9600000381469727,2.950000047683716,1.9999978325610026,-9.090889386918205,-0.09090889386918205,-0.33783751129669093,2.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Daily,2026-02-04,2026-02-05,5.050000190734863,4.71999979019165,2.8666636996817907,-110.00006357824734,-1.1000006357824734,-6.534661150085859,1.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Daily,2026-03-10,2026-03-11,5.369999885559082,5.25,2.2999996423722164,-29.99996423722166,-0.2999996423722166,-2.234634788015244,1.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Daily,2026-05-29,2026-06-03,4.760000228881836,4.550000190734863,2.441175150624376,-61.7646893828047,-0.6176468938280469,-4.411765295152168,3.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Weekly,2019-09-20,2019-12-20,3.440000057220459,3.5399999618530273,1.7058813629682819,29.411723457011746,0.29411723457011746,2.9069739235228065,13.0,1,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Weekly,2021-12-31,2022-01-07,3.930000066757202,3.640000104904175,1.813953140221707,-67.44184112342818,-0.6744184112342817,-7.37913376404387,1.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Weekly,2023-03-03,2023-04-28,3.5799999237060547,3.940000057220459,1.5250008791688248,90.0000655651327,0.900000655651327,10.055869865542574,8.0,1,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Weekly,2023-06-09,2023-06-16,3.819999933242798,3.6600000858306885,2.0718763744938276,-57.15513984710442,-0.5715513984710442,-4.188477754141883,1.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
BTG,AMEX:BTG,B2Gold Corp.,Monthly,2021-05-31,2021-06-30,5.099999904632568,4.210000038146973,2.6063831244296343,-94.68083109667975,-0.9468083109667974,-17.45097810055187,1.0,0,10.236842,3.8549588,0.38,1.00909,5183105024.0,"(0,15]",>0,>0,OK,1,1,1,1,1,ledger
