NASDAQ:BCSF|Bain Capital Specialty Finance, Inc.
NASDAQ:BCX|Blackrock Resources & Commodities Strategy Trust
NASDAQ:BDC|Belden Inc.
NASDAQ:BDCI|BTC Development Corp.
NASDAQ:BDJ|BlackRock Enhanced Equity Dividend Trust
NASDAQ:BDX|Becton, Dickinson and Company
NASDAQ:BEAG|Bold Eagle Acquisition Corp.
NASDAQ:BELFA|Bel Fuse Inc.
NASDAQ:BELFB|Bel Fuse Inc.
NASDAQ:BEN|Franklin Resources, Inc.
NASDAQ:BF.A|Brown-Forman Corporation
NASDAQ:BF.B|Brown-Forman Corporation
NASDAQ:BFAM|Bright Horizons Family Solutions Inc.
NASDAQ:BFH|Bread Financial Holdings, Inc.
NASDAQ:BFS|Saul Centers, Inc.
NASDAQ:BFST|Business First Bancshares, Inc.
NASDAQ:BG|Bunge Global SA
NASDAQ:BGC|BGC Group, Inc.
NASDAQ:BGR|BlackRock Energy and Resources Trust
NASDAQ:BGSI|Boyd Group Services Inc.
NASDAQ:BGT|BlackRock Floating Rate Income Trust
NASDAQ:BGY|BlackRock Enhanced International Dividend Trust
NASDAQ:BHE|Benchmark Electronics, Inc.
NASDAQ:BIIB|Biogen Inc.
NASDAQ:BIO|Bio-Rad Laboratories, Inc.
NASDAQ:BIO.B|Bio-Rad Laboratories, Inc.
NASDAQ:BIT|BlackRock Multi-Sector Income Trust
NASDAQ:BJ|BJ's Wholesale Club Holdings, Inc.
NASDAQ:BJRI|BJ's Restaurants, Inc.
NASDAQ:BKE|The Buckle, Inc.
NASDAQ:BKH|Black Hills Corporation
NASDAQ:BKHA|Black Hawk Acquisition Corporation
NASDAQ:BKNG|Booking Holdings Inc.
NASDAQ:BKR|Baker Hughes Company
NASDAQ:BKT|BlackRock Income Trust, Inc.
NASDAQ:BKU|BankUnited, Inc.
NASDAQ:BKV|BKV Corporation
NASDAQ:BL|BlackLine, Inc.
NASDAQ:BLBD|Blue Bird Corporation
NASDAQ:BLD|TopBuild Corp.
NASDAQ:BLDR|Builders FirstSource, Inc.
NASDAQ:BLK|BlackRock, Inc.
NASDAQ:BLKB|Blackbaud, Inc.
NASDAQ:BLLN|BillionToOne, Inc.
NASDAQ:BLMN|Bloomin' Brands, Inc.
NASDAQ:BLUW|Blue Water Acquisition Corp. III
NASDAQ:BLW|BlackRock Limited Duration Income Trust
NASDAQ:BME|BlackRock Health Sciences Trust
NASDAQ:BMEZ|BlackRock Health Sciences Term Trust
NASDAQ:BMI|Badger Meter, Inc.
NASDAQ:BMN|Blackrock 2037 Municipal Target Term Trust
NASDAQ:BMO|Bank of Montreal
NASDAQ:BMRN|BioMarin Pharmaceutical Inc.
NASDAQ:BMY|Bristol-Myers Squibb Company
NASDAQ:BN|Brookfield Corporation
NASDAQ:BNL|Broadstone Net Lease, Inc.
NASDAQ:BNS|The Bank of Nova Scotia
NASDAQ:BNY|The Bank of New York Mellon Cor
NASDAQ:BOBS|Bob's Discount Furniture, Inc.
NASDAQ:BOE|BlackRock Enhanced Global Dividend Trust
NASDAQ:BOH|Bank of Hawaii Corporation
NASDAQ:BOKF|BOK Financial Corporation
NASDAQ:BOOT|Boot Barn Holdings, Inc.
NASDAQ:BOW|Bowhead Specialty Holdings Inc.
NASDAQ:BOX|Box, Inc.
NASDAQ:BPOP|Popular, Inc.
NASDAQ:BPRN|Princeton Bancorp, Inc.
NASDAQ:BR|Broadridge Financial Solutions, Inc.
NASDAQ:BRBR|BellRing Brands, Inc.
NASDAQ:BRC|Brady Corporation
NASDAQ:BRK.A|Berkshire Hathaway Inc.
NASDAQ:BRK.B|Berkshire Hathaway Inc.
NASDAQ:BRO|Brown & Brown, Inc.
NASDAQ:BROS|Dutch Bros Inc.
NASDAQ:BRX|Brixmor Property Group Inc.
NASDAQ:BSET|Bassett Furniture Industries, Incorporated
NASDAQ:BSRR|Sierra Bancorp
NASDAQ:BST|BlackRock Science and Technology Trust
NASDAQ:BSTZ|BlackRock Science and Technology Term Trust
NASDAQ:BSVN|Bank7 Corp.
NASDAQ:BSX|Boston Scientific Corporation
NASDAQ:BSY|Bentley Systems, Incorporated
NASDAQ:BTMD|biote Corp.
NASDAQ:BTSG|BrightSpring Health Services, Inc.
NASDAQ:BTT|Blackrock Municipal 2030 Target Term Trust
NASDAQ:BTX|BlackRock Innovation and Growth Term Trust
