NYSE:KSS|Kohl's Corporation
NYSE:KTB|Kontoor Brands, Inc.
NYSE:KVYO|Klaviyo, Inc.
NASDAQ:KYIV|Kyivstar Group Ltd.
NASDAQ:KYMR|Kymera Therapeutics, Inc.
NYSE:KYN|Kayne Anderson Energy Infrastructure Fund, Inc.
NASDAQ:LASR|nLIGHT, Inc.
NASDAQ:LAUR|Laureate Education, Inc.
NYSE:LAZ|Lazard, Inc.
NYSE:LB|LandBridge Company LLC
NASDAQ:LBRDK|Liberty Broadband Corporation
NYSE:LBRT|Liberty Energy Inc.
NASDAQ:LBTYA|Liberty Global Ltd.
NASDAQ:LBTYK|Liberty Global Ltd.
NASDAQ:LCID|Lucid Group, Inc.
NYSE:LCII|LCI Industries
NYSE:LEA|Lear Corporation
NASDAQ:LEGN|Legend Biotech Corporation
NYSE:LEU|Centrus Energy Corp.
NYSE:LEVI|Levi Strauss & Co.
NASDAQ:LFST|LifeStance Health Group, Inc.
NASDAQ:LGN|Legence Corp.
NASDAQ:LIF|Life360, Inc.
NASDAQ:LINE|Lineage, Inc.
NYSE:LION|Lionsgate Studios Corp.
NASDAQ:LIVN|LivaNova PLC
NASDAQ:LKQ|LKQ Corporation
NASDAQ:LLYVK|Liberty Live Holdings, Inc.
NYSE:LMND|Lemonade, Inc.
NYSE:LNC|Lincoln National Corporation
NASDAQ:LNTH|Lantheus Holdings, Inc.
NYSE:LOAR|Loar Holdings Inc.
NASDAQ:LOPE|Grand Canyon Education, Inc.
NYSE:LPL|LG Display Co., Ltd.
NYSE:LPX|Louisiana-Pacific Corporation
NASDAQ:LQDA|Liquidia Corporation
NYSE:LRN|Stride, Inc.
NASDAQ:LSTR|Landstar System, Inc.
NYSE:LTH|Life Time Group Holdings, Inc.
NYSE:LU|Lufax Holding Ltd
NYSE:LUMN|Lumen Technologies, Inc.
NASDAQ:LUNR|Intuitive Machines, Inc.
NYSE:LW|Lamb Weston Holdings, Inc.
NYSE:LXP|LXP Industrial Trust
NASDAQ:LYFT|Lyft, Inc.
NYSE:M|Macy's, Inc.
NYSE:MAC|The Macerich Company
NYSE:MAIN|Main Street Capital Corporation
NASDAQ:MANH|Manhattan Associates, Inc.
NYSE:MANU|Manchester United plc
NASDAQ:MARA|MARA Holdings, Inc.
